OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-05-18T03:44:44.994048,13.76586790,.0027798,90.2234,71.0625,27.6639,80.3834,0,U,900,999,6729,.47712E-3,.478E-5,0
CALSPHERE 2,1964-063E,2026-05-18T01:36:57.451104,13.52897587,.0017273,90.2369,75.0700,320.0737,51.1567,0,U,902,999,85219,.34585E-4,.32E-6,0
LCS 1,1965-034C,2026-05-17T23:30:19.690848,9.89310378,.0012777,32.1408,248.7550,13.7377,346.3467,0,U,1361,999,20689,.28122E-2,.3E-6,0
TEMPSAT 1,1965-065E,2026-05-18T04:38:17.680416,13.33592388,.0068621,90.0008,212.5887,334.3779,52.4193,0,U,1512,999,95605,.52465E-4,.35E-6,0
CALSPHERE 4A,1965-065H,2026-05-18T04:30:49.419072,13.36272241,.0069369,89.8965,122.7856,186.4827,186.2545,0,U,1520,999,95870,.10424E-3,.64E-6,0
OPS 5712 (P/L 160),1967-053A,2026-05-18T04:36:52.163424,14.77247223,.0001594,69.9157,111.7874,257.8775,102.2194,0,U,2826,999,6180,.6142E-3,.4286E-4,0
LES-5,1967-066E,2026-05-17T20:36:26.707680,1.09426355,.00532121,2.5542,97.2248,213.2968,320.4602,0,U,2866,999,13070,0,-.11E-5,0
SURCAL 159,1967-053F,2026-05-18T03:24:11.315232,13.99594951,.0006265,69.9745,65.5253,177.7656,182.3481,0,U,2872,999,600,.65841E-4,.43E-6,0
OPS 5712 (P/L 153),1967-053H,2026-05-18T04:34:29.053056,13.96823794,.0009766,69.9726,179.6018,243.9761,116.0339,0,U,2874,999,260,.52317E-4,.19E-6,0
OPS 3811 (DSP 2),1971-039A,2026-05-18T04:45:17.432352,0.98159396,.0021791,0.3100,37.1478,256.1428,293.2132,0,U,5204,999,20593,0,-.33E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-05-18T03:03:56.162304,14.37832756,.005895,87.6221,347.1617,334.7260,25.1057,0,U,5398,999,86956,.12388E-3,.398E-5,0
OSCAR 7 (AO-7),1974-089B,2026-05-18T01:11:27.102336,12.53697643,.0012211,101.9913,150.9810,186.8456,191.2975,0,U,7530,999,35674,.2324E-4,-.43E-6,0
STARLETTE,1975-010A,2026-05-18T05:36:52.339968,13.82350058,.0205594,49.8240,222.8288,324.0827,34.6392,0,U,7646,999,59039,.21438E-4,-.115E-5,0
LAGEOS 1,1976-039A,2026-05-18T00:38:39.229152,6.38664680,.0044676,109.8037,169.0164,308.7357,91.5667,0,U,8820,999,91121,0,.11E-6,0
OPS 8701 (DSP 10),1982-019A,2026-05-17T15:05:26.204928,0.98187500,.0003911,9.3530,309.4716,319.2102,92.3286,0,U,13086,999,2536,0,-.13E-6,0
PHASE 3B (AO-10),1983-058B,2026-05-16T19:21:05.021568,2.05872419,.60218023,25.8953,224.7799,107.0257,324.0438,0,U,14129,999,29484,0,-.64E-6,0
UOSAT 2 (UO-11),1984-021B,2026-05-18T03:37:01.185024,14.90705103,.0006063,97.8041,104.0667,287.6336,72.4220,0,U,14781,999,25265,.65881E-4,.591E-5,0
AJISAI (EGS),1986-061A,2026-05-18T04:23:51.772704,12.44516246,.0011393,50.0088,239.6576,104.5337,334.9033,0,U,16908,999,47665,.14795E-3,-.77E-6,0
TDRS 3,1988-091B,2026-05-17T10:42:41.437152,1.00266495,.00395363,12.6258,341.2062,356.9746,8.7079,0,U,19548,999,12508,0,-.3E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-05-18T05:29:58.964352,2.13155879,.0023325,64.9294,73.2195,217.6215,158.7639,0,U,19751,999,29073,0,-.13E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-05-18T05:37:02.546400,2.13204485,.0020616,64.9536,311.5671,212.6825,319.8827,0,U,20026,999,28786,0,-.34E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-05-17T11:32:29.161248,1.00269955,.0006362,12.4302,351.3516,27.2468,155.4346,0,U,20253,999,26025,0,-.368E-5,0
LUSAT (LO-19),1990-005G,2026-05-18T01:00:10.821024,14.34113026,.0010532,98.8867,159.0145,297.3518,62.6593,0,U,20442,999,89807,.40232E-4,.66E-6,0
HST,1990-037B,2026-05-18T02:01:47.004384,15.30409410,.0001786,28.4749,286.2564,152.3712,207.6979,0,U,20580,999,78395,.16211E-3,.5136E-4,0
SKYNET 4C,1990-079A,2026-05-17T17:56:50.388288,1.00271836,.00026214,13.3505,350.0241,61.7930,126.1703,0,U,20776,999,13058,0,.124E-5,0
USA 65 (DSP 15),1990-095A,2026-05-17T20:35:11.105088,0.98398790,.0004129,14.0229,344.2585,77.0151,271.5150,0,U,20929,999,2516,0,-.239E-5,0
TDRS 5,1991-054B,2026-05-17T18:42:19.868832,1.00278686,.00071426,14.0756,354.0060,277.0735,77.4740,0,U,21639,999,12740,0,.83E-6,0
USA 75 (DSP 16),1991-080B,2026-05-17T11:13:52.258080,0.99187405,.00040305,14.0199,345.7282,84.9046,100.1384,0,U,21805,999,2540,0,-.286E-5,0
LAGEOS 2,1992-070B,2026-05-15T22:38:19.912128,6.47293620,.013774,52.6609,287.0389,173.1968,5.5334,0,U,22195,999,79333,0,-.9E-7,0
TDRS 6,1993-003B,2026-05-18T03:44:55.395744,1.00265734,.0006851,14.1827,357.2850,172.2268,76.5752,0,U,22314,999,12210,0,-.3E-5,0
SCD 1,1993-009B,2026-05-18T00:00:27.731808,14.46106297,.0041963,24.9706,33.9570,178.2809,207.7286,0,U,22490,999,75674,.3649E-4,.32E-5,0
UFO 2 (USA 95),1993-056A,2026-05-17T19:38:07.018656,1.00274573,.00084881,11.8847,3.7245,0.5375,194.3942,0,U,22787,999,11824,0,.123E-5,0
STELLA,1993-061B,2026-05-18T04:39:02.973024,14.27469525,.0005801,98.7739,202.3351,333.5581,97.6749,0,U,22824,999,70049,.69773E-5,-.28E-6,0
EYESAT A (AO-27),1993-061C,2026-05-18T03:24:52.744032,14.30933318,.0008362,98.6890,205.5646,180.7438,179.3734,0,U,22825,999,70270,.4043E-4,.62E-6,0
ITAMSAT (IO-26),1993-061D,2026-05-18T03:08:07.156032,14.31359325,.0009215,98.6838,205.4673,164.9014,195.2446,0,U,22826,999,70301,.40243E-4,.62E-6,0
USA 99 (MILSTAR-1 1),1994-009A,2026-05-17T22:02:02.061024,0.98723844,.0001288,17.5834,28.0203,250.7581,101.3153,0,U,22988,999,3264,0,-.223E-5,0
RADIO ROSTO (RS15),1994-085A,2026-05-18T01:12:33.073056,11.27583608,.015511,64.8188,351.9576,9.4035,350.9737,0,U,23439,999,29250,-.18423E-3,-.49E-6,0
UFO 4 (USA 108),1995-003A,2026-05-17T14:38:46.526208,1.00267821,.0003247,9.7045,13.3348,33.8463,220.2270,0,U,23467,999,11464,0,-.21E-6,0
TDRS 7,1995-035B,2026-05-18T02:12:21.537216,1.00272437,.0011217,13.3900,348.3998,70.4634,299.2939,0,U,23613,999,11295,0,-.244E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-05-18T04:58:08.008032,1.00366512,.000044,14.0630,3.9743,103.0138,99.0916,0,U,23712,999,3258,0,-.135E-5,0
POLAR,1996-013A,2026-05-17T05:28:10.813152,1.29846043,.64396232,79.8210,227.4124,210.1435,87.9466,0,U,23802,999,14445,0,.85E-6,0
INMARSAT 3-F1,1996-020A,2026-05-18T04:54:15.967008,0.99986898,.0003696,10.5408,46.9088,4.6739,194.0206,0,U,23839,999,10995,0,-.27E-5,0
USA 119,1996-029A,2026-05-17T19:18:59.891040,13.46165633,.08495671,63.3194,271.6075,48.7193,318.3891,0,U,23893,999,10118,.1069613E-3,.524E-5,0
JAS-2 (FO-29),1996-046B,2026-05-18T03:29:05.262720,13.53272660,.0349974,98.5270,351.1278,174.2414,186.2916,0,U,24278,999,46910,.4257E-4,.8E-7,0
INMARSAT 3-F2,1996-053A,2026-05-17T14:26:58.141248,1.00002121,.0006853,9.7900,54.2468,3.6912,213.0117,0,U,24307,999,10861,0,-.1E-6,0
INMARSAT 3-F3,1996-070A,2026-05-17T19:51:13.262112,0.99973847,.00041242,10.2544,49.9416,348.9598,209.1987,0,U,24674,999,10760,0,-.3E-6,0
NAVSTAR 43 (USA 132),1997-035A,2026-05-17T06:57:00.378144,2.00563757,.01009227,55.9793,99.7827,56.4089,304.5101,0,U,24876,999,21133,0,.18E-6,0
FORTE,1997-047A,2026-05-18T04:24:28.624896,14.27931633,.0023884,69.9529,81.7892,314.0241,45.8913,0,U,24920,999,49440,.6472E-4,.103E-5,0
AMC-3,1997-050A,2026-05-18T04:44:57.817824,1.00269604,.0002757,8.0738,64.4245,355.1071,175.5786,0,U,24936,999,5213,0,-.261E-5,0
USA 134,1997-065A,2026-05-18T04:33:43.566048,1.00272752,.0004771,12.7499,21.9481,329.5443,200.6731,0,U,25019,999,3265,0,-.67E-6,0
ORBCOMM FM06,1997-084G,2026-05-18T04:25:00.812352,14.47482709,.000199,45.0128,197.1406,233.7647,159.3500,0,U,25118,999,49004,.20424E-3,.612E-5,0
INMARSAT 3-F5,1998-006B,2026-05-18T04:40:54.498144,1.00271270,.0004792,9.6282,53.5537,359.8230,198.7674,0,U,25153,999,10359,0,-.291E-5,0
ORBCOMM FM04,1998-007C,2026-05-18T03:43:40.480032,14.35676787,.004023,107.9627,107.6142,16.8658,343.3811,0,U,25159,999,47228,.25595E-3,.613E-5,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-05-18T03:43:23.395296,14.22475497,.0062287,108.0099,271.6840,185.9944,250.6814,0,U,25160,999,46624,.53499E-4,-.8E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-05-18T05:03:54.864288,14.24421971,.0000722,99.0065,130.2154,0.9975,359.1205,0,U,25397,999,44706,.25345E-4,.12E-6,0
WESTPAC,1998-043E,2026-05-17T18:03:49.926816,14.23051501,.00006568,99.0127,123.0828,349.1489,10.9673,0,U,25398,999,44661,.5308935E-5,-.35E-6,0
