OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2026-05-18T01:11:27.102336,12.53697643,.0012211,101.9913,150.9810,186.8456,191.2975,0,U,7530,999,35674,.2324E-4,-.43E-6,0
PHASE 3B (AO-10),1983-058B,2026-05-16T19:21:05.021568,2.05872419,.60218023,25.8953,224.7799,107.0257,324.0438,0,U,14129,999,29484,0,-.64E-6,0
UOSAT 2 (UO-11),1984-021B,2026-05-18T03:37:01.185024,14.90705103,.0006063,97.8041,104.0667,287.6336,72.4220,0,U,14781,999,25265,.65881E-4,.591E-5,0
LUSAT (LO-19),1990-005G,2026-05-18T01:00:10.821024,14.34113026,.0010532,98.8867,159.0145,297.3518,62.6593,0,U,20442,999,89807,.40232E-4,.66E-6,0
EYESAT A (AO-27),1993-061C,2026-05-18T03:24:52.744032,14.30933318,.0008362,98.6890,205.5646,180.7438,179.3734,0,U,22825,999,70270,.4043E-4,.62E-6,0
ITAMSAT (IO-26),1993-061D,2026-05-18T03:08:07.156032,14.31359325,.0009215,98.6838,205.4673,164.9014,195.2446,0,U,22826,999,70301,.40243E-4,.62E-6,0
RADIO ROSTO (RS15),1994-085A,2026-05-18T01:12:33.073056,11.27583608,.015511,64.8188,351.9576,9.4035,350.9737,0,U,23439,999,29250,-.18423E-3,-.49E-6,0
JAS-2 (FO-29),1996-046B,2026-05-18T03:29:05.262720,13.53272660,.0349974,98.5270,351.1278,174.2414,186.2916,0,U,24278,999,46910,.4257E-4,.8E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-05-18T05:03:54.864288,14.24421971,.0000722,99.0065,130.2154,0.9975,359.1205,0,U,25397,999,44706,.25345E-4,.12E-6,0
ISS (ZARYA),1998-067A,2026-05-18T04:45:01.329120,15.49256023,.0007513,51.6325,88.5573,70.6653,289.5148,0,U,25544,999,56710,.12105E-3,.6286E-4,0
PCSAT (NO-44),2001-043C,2026-05-17T21:59:13.763328,14.31943365,.00062274,67.0508,322.5666,263.6404,96.3988,0,U,26931,999,28611,.52830718E-4,.59E-6,0
SAUDISAT 1C (SO-50),2002-058C,2026-05-17T16:12:13.596768,14.82977248,.00756269,64.5520,223.3829,268.0551,91.1893,0,U,27607,999,25993,.85292761E-4,.571E-5,0
CUTE-1 (CO-55),2003-031E,2026-05-17T18:14:30.273504,14.24315356,.00082833,98.6745,146.7015,274.5188,85.5045,0,U,27844,999,18734,.94640211E-4,.175E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-05-18T00:20:47.346432,14.23603269,.0008292,98.6777,146.6897,295.0772,64.9546,0,U,27848,999,18708,.83815E-4,.147E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-05-18T04:56:11.024160,14.73407946,.0011537,98.3461,321.7193,10.7054,100.2190,0,U,27939,999,21113,.32041E-4,.154E-5,0
CUBESAT XI-V,2005-043F,2026-05-18T03:58:26.078304,14.72543889,.0012909,98.2952,293.1644,303.4766,56.5207,0,U,28895,999,9733,.12922E-3,.769E-5,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-05-18T03:35:28.846752,15.09140414,.0010426,97.8269,118.9543,124.7138,235.5074,0,U,32785,999,98066,.22059E-3,.3437E-4,0
SEEDS II (CO-66),2008-021J,2026-05-17T18:24:47.782080,15.31630012,.00048458,97.7520,134.2408,75.1413,285.0364,0,U,32791,999,98263,.35477782E-3,.1076E-3,0
YUBILEINY (RS30),2008-025A,2026-05-18T03:51:18.068256,12.43178405,.0020137,82.5071,14.1196,19.5834,340.6015,0,U,32953,999,81596,.59657E-3,.93E-6,0
KKS-1 (KISEKI),2009-002H,2026-05-18T03:58:46.924032,14.83037456,.0008755,98.1194,60.1339,36.3723,323.8083,0,U,33499,999,93174,.1055E-3,.803E-5,0
SWISSCUBE,2009-051B,2026-05-18T04:49:43.026816,14.62417348,.0005837,98.4055,45.5658,316.1214,43.9522,0,U,35932,999,88477,.12997E-3,.608E-5,0
BEESAT-1,2009-051C,2026-05-17T23:45:15.295968,14.61665995,.00046749,98.3984,45.0490,336.1403,23.9580,0,U,35933,999,88477,.11590044E-3,.528E-5,0
ITUPSAT1,2009-051E,2026-05-18T00:32:47.903424,14.60390489,.0007081,98.4069,44.3063,343.1047,16.9915,0,U,35935,999,88433,.11087E-3,.488E-5,0
XIWANG-1 (HOPE-1),2009-072B,2026-05-18T03:33:27.201600,13.16439760,.0006982,100.4011,92.4631,306.4212,53.6256,0,U,36122,999,78905,.10216E-2,.346E-5,0
O/OREOS (USA 219),2010-062C,2026-05-18T04:36:55.153728,14.93604836,.0012784,71.9681,148.2749,128.7864,231.4450,0,U,37224,999,11216,.11748E-3,.1178E-4,0
JUGNU,2011-058B,2026-05-18T02:07:31.159776,14.13767194,.0018782,19.9593,131.2822,104.0189,318.6082,0,U,37839,999,75476,.55227E-4,.373E-5,0
SRMSAT,2011-058D,2026-05-17T23:36:43.326720,14.11568600,.00115964,19.9715,242.2885,231.8175,283.8181,0,U,37841,999,75354,.53736901E-4,.364E-5,0
STRAND-1,2013-009E,2026-05-18T01:10:19.350048,14.37143901,.0007896,98.3916,319.0265,328.4541,31.6172,0,U,39090,999,69273,.69049E-4,.162E-5,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-05-18T03:26:34.670112,15.00938209,.0041199,97.8123,100.3176,353.8882,6.1833,0,U,39417,999,67622,.24772E-3,.3149E-4,0
GOMX-1,2013-066Q,2026-05-18T03:43:24.674016,14.69330105,.0128873,97.6500,340.5125,173.2938,187.0032,0,U,39430,999,66550,.20088E-3,.1296E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-05-18T02:49:26.409792,14.93509519,.0059161,97.8896,86.9790,126.1007,234.5710,0,U,39440,999,67250,.18249E-3,.1926E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2026-05-17T11:49:51.301632,15.09062717,.00349222,97.8263,108.3115,310.4162,49.4020,0,U,39444,999,67503,.27395422E-3,.433E-4,0
UWE-3,2013-066AG,2026-05-17T14:23:58.792128,14.96740642,.0050496,97.8682,93.4792,62.4412,298.1926,0,U,39446,999,67300,.23594E-3,.2704E-4,0
UNISAT-6,2014-033C,2026-05-18T05:05:11.493312,14.88053140,.0045636,97.7845,291.4622,165.6570,194.5955,0,U,40012,999,64170,.20607E-3,.1873E-4,0
DUCHIFAT-1,2014-033M,2026-05-18T02:18:45.019296,15.58902062,.0006144,98.0495,193.1751,173.8431,186.2900,0,U,40021,999,65105,.73529E-3,.57217E-3,0
QB50P1,2014-033R,2026-05-17T18:17:31.729056,15.17749645,.00078575,98.0972,146.7868,341.5889,18.5058,0,U,40025,999,64841,.29289335E-3,.5841E-4,0
LILACSAT-2,2015-049K,2026-05-18T03:23:14.565120,15.50382833,.000704,97.4676,173.8596,20.3073,339.8457,0,U,40908,999,59109,.22745E-3,.12837E-3,0
FOX-1A (AO-85),2015-058D,2026-05-18T02:24:05.075136,14.90778967,.0129183,64.7765,12.4727,68.3958,293.0860,0,U,40967,999,10908,.21248E-3,.2278E-4,0
CAS-2T & KS-1Q,2016-066G,2026-05-18T04:19:09.209280,14.44597581,.0341315,98.3826,214.2564,220.4591,137.0764,0,U,41847,999,50046,.10168E-3,.655E-5,0
RADFXSAT (FOX-1B),2017-073E,2026-05-18T04:06:52.620768,15.12125154,.0153834,97.4741,6.0095,72.4946,289.3029,0,U,43017,999,46085,.28121E-3,.6398E-4,0
DIWATA-2B,2018-084H,2026-05-18T03:48:41.008608,15.00294142,.0011753,98.1104,333.0774,274.3668,85.6212,0,U,43678,999,41171,.17447E-3,.2123E-4,0
ES'HAIL 2,2018-090A,2026-05-18T01:15:38.668032,1.00269071,.0001197,0.0012,221.0829,223.8348,195.5476,0,U,43700,999,2737,0,.149E-5,0
