OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2026-05-17T10:42:41.437152,1.00266495,.00395363,12.6258,341.2062,356.9746,8.7079,0,U,19548,999,12508,0,-.3E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2026-05-17T11:32:29.161248,1.00269955,.0006362,12.4302,351.3516,27.2468,155.4346,0,U,20253,999,26025,0,-.368E-5,0
SKYNET 4C,1990-079A,2026-05-17T17:56:50.388288,1.00271836,.00026214,13.3505,350.0241,61.7930,126.1703,0,U,20776,999,13058,0,.124E-5,0
TDRS 5,1991-054B,2026-05-17T18:42:19.868832,1.00278686,.00071426,14.0756,354.0060,277.0735,77.4740,0,U,21639,999,12740,0,.83E-6,0
TDRS 6,1993-003B,2026-05-18T03:44:55.395744,1.00265734,.0006851,14.1827,357.2850,172.2268,76.5752,0,U,22314,999,12210,0,-.3E-5,0
UFO 2 (USA 95),1993-056A,2026-05-17T19:38:07.018656,1.00274573,.00084881,11.8847,3.7245,0.5375,194.3942,0,U,22787,999,11824,0,.123E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-05-17T22:02:02.061024,0.98723844,.0001288,17.5834,28.0203,250.7581,101.3153,0,U,22988,999,3264,0,-.223E-5,0
UFO 4 (USA 108),1995-003A,2026-05-17T14:38:46.526208,1.00267821,.0003247,9.7045,13.3348,33.8463,220.2270,0,U,23467,999,11464,0,-.21E-6,0
TDRS 7,1995-035B,2026-05-18T02:12:21.537216,1.00272437,.0011217,13.3900,348.3998,70.4634,299.2939,0,U,23613,999,11295,0,-.244E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-05-18T04:58:08.008032,1.00366512,.000044,14.0630,3.9743,103.0138,99.0916,0,U,23712,999,3258,0,-.135E-5,0
INMARSAT 3-F1,1996-020A,2026-05-18T04:54:15.967008,0.99986898,.0003696,10.5408,46.9088,4.6739,194.0206,0,U,23839,999,10995,0,-.27E-5,0
INMARSAT 3-F2,1996-053A,2026-05-17T14:26:58.141248,1.00002121,.0006853,9.7900,54.2468,3.6912,213.0117,0,U,24307,999,10861,0,-.1E-6,0
INMARSAT 3-F3,1996-070A,2026-05-17T19:51:13.262112,0.99973847,.00041242,10.2544,49.9416,348.9598,209.1987,0,U,24674,999,10760,0,-.3E-6,0
AMC-3,1997-050A,2026-05-18T04:44:57.817824,1.00269604,.0002757,8.0738,64.4245,355.1071,175.5786,0,U,24936,999,5213,0,-.261E-5,0
USA 134,1997-065A,2026-05-18T04:33:43.566048,1.00272752,.0004771,12.7499,21.9481,329.5443,200.6731,0,U,25019,999,3265,0,-.67E-6,0
INMARSAT 3-F5,1998-006B,2026-05-18T04:40:54.498144,1.00271270,.0004792,9.6282,53.5537,359.8230,198.7674,0,U,25153,999,10359,0,-.291E-5,0
ABS-6,1999-053A,2026-05-17T22:08:38.816736,1.00276652,.0003751,0.0106,299.5682,129.0120,298.2388,0,U,25924,999,9753,0,-.113E-5,0
UFO 10 (USA 146),1999-063A,2026-05-15T01:53:38.643936,1.00269132,.00028736,9.8492,27.3862,359.9608,211.0366,0,U,25967,999,9701,0,-.179E-5,0
