OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2026-05-18T02:26:44.018304,14.12406341,.0546365,30.3540,167.6325,332.1858,25.0508,0,U,694,999,14144,.16722E-3,.1473E-4,0
THOR AGENA D R/B,1964-002A,2026-05-18T00:22:39.718272,14.34051242,.00338,99.1169,155.1192,57.8162,302.6292,0,U,733,999,24823,.47044E-4,.84E-6,0
SL-3 R/B,1964-053B,2026-05-18T03:38:06.603648,14.61409587,.0081306,65.0750,127.5786,270.4906,88.6878,0,U,877,999,27694,.31941E-4,.39E-6,0
SL-8 R/B,1967-045B,2026-05-18T04:35:33.771840,14.45667006,.0064666,74.0113,218.2805,209.8181,149.9287,0,U,2802,999,9906,.51338E-4,.158E-5,0
SL-8 R/B,1968-040B,2026-05-18T04:16:30.425952,15.03653847,.0025338,74.0287,171.6555,330.2521,29.7225,0,U,3230,999,10045,.11919E-3,.1599E-4,0
OAO 2,1968-110A,2026-05-17T23:26:31.615584,14.47339900,.0005293,34.9932,238.3639,26.5752,333.5210,0,U,3597,999,2914,.3533E-4,.112E-5,0
ISIS 1,1969-009A,2026-05-18T00:17:37.167936,11.30428604,.1706098,88.4421,147.7170,309.2247,36.9024,0,U,3669,999,35636,.38013E-4,.52E-6,0
SERT 2,1970-009A,2026-05-18T03:03:35.301024,13.58737142,.0004889,99.2835,77.4556,359.5779,12.0411,0,U,4327,999,78932,.42779E-4,-.1E-6,0
SL-3 R/B,1971-028B,2026-05-18T03:08:09.984768,15.66927688,.0014341,81.2328,325.8760,35.1805,325.0395,0,U,5118,999,99952,.2732E-3,.29173E-3,0
ASTEX 1,1971-089A,2026-05-18T03:20:21.786720,14.50826729,.0014574,92.7018,174.1769,201.7247,158.3343,0,U,5560,999,87237,.51575E-4,.202E-5,0
SL-8 R/B,1971-119B,2026-05-18T04:50:15.334368,14.39144370,.0544455,73.8881,45.6548,357.7217,2.1458,0,U,5730,999,66548,.3771E-3,.7325E-4,0
OAO 3 (COPERNICUS),1972-065A,2026-05-18T02:22:32.780064,14.60043071,.0006643,35.0060,261.8462,2.3763,163.9574,0,U,6153,999,85634,.35046E-4,.15E-5,0
ATLAS CENTAUR R/B,1972-065B,2026-05-18T00:17:28.654080,14.77858404,.0034026,35.0019,259.4375,234.7143,125.0372,0,U,6155,999,85152,.83791E-4,.595E-5,0
SL-8 R/B,1975-112B,2026-05-18T01:28:31.198080,14.38232607,.0016294,74.0608,251.2926,322.2442,37.7567,0,U,8459,999,64184,.38487E-4,.91E-6,0
SL-3 R/B,1977-057B,2026-05-18T03:35:43.525248,15.47203449,.0007667,97.5825,313.2547,42.5802,317.6041,0,U,10114,999,67906,.14383E-3,.7221E-4,0
SEASAT 1,1978-064A,2026-05-18T03:37:36.889824,14.46216985,.0002524,108.0129,271.2454,248.9213,111.1663,0,U,10967,999,51655,.76596E-4,.137E-5,0
SL-14 R/B,1979-011B,2026-05-18T03:07:12.031968,14.91985355,.0015888,82.5259,30.6766,179.8737,180.2490,0,U,11267,999,53913,.29432E-4,.325E-5,0
SL-8 R/B,1979-089B,2026-05-17T18:10:18.330240,14.42387922,.00149866,74.0686,323.1908,119.3716,240.8939,0,U,11574,999,44606,.39642734E-4,.105E-5,0
SL-14 R/B,1980-005B,2026-05-18T04:31:46.527744,14.91001121,.0014217,82.5151,241.2928,293.8323,66.1405,0,U,11672,999,48684,.30326E-4,.325E-5,0
SL-8 R/B,1981-003B,2026-05-17T22:37:50.321856,15.13369003,.02519599,82.9391,225.8518,297.4468,60.1344,0,U,12139,999,32514,.21921941E-3,.8771E-4,0
SL-3 R/B,1981-046B,2026-05-18T04:20:36.430080,15.43560199,.0019536,81.2315,206.1952,136.1921,224.0876,0,U,12465,999,44914,.14607E-3,.6636E-4,0
SL-3 R/B,1981-103B,2026-05-18T03:26:43.062144,15.22007134,.0014141,81.1563,131.9212,56.8367,303.4219,0,U,12904,999,98379,.12619E-3,.2914E-4,0
SL-3 R/B,1982-013B,2026-05-18T03:00:51.160032,15.22565628,.0020832,81.1744,79.3340,308.0736,51.8617,0,U,13068,999,41491,.11866E-3,.2796E-4,0
SL-3 R/B,1982-039B,2026-05-18T03:47:26.975040,15.10364897,.0030512,81.1417,135.7908,90.8132,269.6590,0,U,13154,999,39212,.7228E-4,.1223E-4,0
SL-3 R/B,1982-079B,2026-05-18T05:00:40.233600,15.25504054,.0022573,81.1445,110.9372,291.8923,67.9910,0,U,13403,999,38829,.13226E-3,.34E-4,0
SL-14 R/B,1982-092B,2026-05-18T02:13:39.461376,14.86721967,.002192,82.5680,76.4586,72.3075,298.3559,0,U,13553,999,33924,.30113E-4,.294E-5,0
SL-3 R/B,1983-010B,2026-05-17T19:44:34.231488,15.48307273,.00161351,81.1017,277.3342,164.2278,195.9474,0,U,13819,999,36863,.20285662E-3,.10801E-3,0
SL-3 R/B,1983-075B,2026-05-18T04:23:55.091328,15.39892550,.0020131,97.6109,145.4753,346.2725,13.7970,0,U,14208,999,34084,.16112E-3,.6358E-4,0
COSMOS 1536,1984-013A,2026-05-18T04:10:00.776640,15.24704992,.0015588,82.5465,38.7277,43.7602,316.4868,0,U,14699,999,28320,.14941E-3,.374E-4,0
SL-14 R/B,1984-027B,2026-05-18T04:24:48.655008,14.86036479,.0019568,82.5422,179.8529,102.4955,257.8453,0,U,14820,999,25795,.24897E-4,.243E-5,0
SL-8 R/B,1985-006B,2026-05-18T05:26:33.614016,14.37819436,.0017742,74.0434,133.1959,27.0964,343.8622,0,U,15483,999,16402,.1301E-4,.13E-6,0
SL-12 R/B(2),1985-042D,2026-05-18T05:12:31.688352,14.21999698,.0034573,71.1077,300.8358,14.1379,158.1624,0,U,15772,999,12427,.28928E-4,.17E-6,0
SL-14 R/B,1985-069B,2026-05-18T00:18:15.318720,14.86491042,.0017868,82.5251,319.7500,326.8277,33.1818,0,U,15945,999,18313,.24279E-4,.239E-5,0
SL-16 R/B,1985-097B,2026-05-18T01:33:59.226912,14.16609128,.0006705,71.0039,354.4963,168.1344,353.3670,0,U,16182,999,9705,-.8235E-4,-.212E-5,0
